strain_name,latitude,longitude,date
AB037250,25.039868,121.511879,1998-07-08
AB037251,25.039868,121.511879,1998-07-08
AB037252,25.039868,121.511879,1998-07-08
AB037253,25.039868,121.511879,1998-07-08
AB037254,25.039868,121.511879,1998-07-08
AB037255,25.039868,121.511879,1998-07-08
AB037256,25.039868,121.511879,1998-07-08
AB037257,25.039868,121.511879,1998-07-08
AB037258,25.039868,121.511879,1998-07-08
AB037259,25.039868,121.511879,1998-07-08
AB037260,25.039868,121.511879,1998-07-08
AB037261,25.039868,121.511879,1998-07-08
AB037262,25.039868,121.511879,1998-07-08
AB037263,25.039868,121.511879,1998-07-08
AB037264,25.039868,121.511879,1998-07-08
AB037265,25.039868,121.511879,1998-07-08
AB051305,35.6624,138.5682,1978-07-08
AB051306,25.039868,121.511879,1998-07-08
AB051307,25.039868,121.511879,1998-07-08
AB051308,25.039868,121.511879,1998-07-08
AB051310,25.039868,121.511879,1998-07-08
AB051311,25.039868,121.511879,1998-07-08
AB051312,25.039868,121.511879,1998-07-08
AB051314,25.039868,121.511879,1998-07-08
AB051316,25.039868,121.511879,1998-07-08
AB051317,25.039868,121.511879,1998-07-08
AB051318,25.039868,121.511879,1998-07-08
AB051319,35.4436,139.638,1997-07-08
AB051320,35.4436,139.638,1997-07-08
AB051321,35.4436,139.638,1997-07-08
AB051325,35.4436,139.638,1997-07-08
AB051326,35.4436,139.638,1997-07-08
AB051327,35.4436,139.638,1997-07-08
AB051330,35.0178,135.8546,1997-07-08
AB051334,3.1328934,101.696,1997-07-08
AB053288,35.4436,139.638,1997-07-08
AB061512,35.1814,136.9064,1990-07-08
AB081348,35.4436,139.638,1986-07-08
AB081349,35.4436,139.638,1986-07-08
AB081350,35.4436,139.638,1986-07-08
AB081351,35.4436,139.638,1986-07-08
AB081352,35.4436,139.638,1986-07-08
AB081353,35.4436,139.638,1986-07-08
AB081354,35.4436,139.638,1986-07-08
AB081355,35.4436,139.638,1986-07-08
AB081356,35.4436,139.638,1986-07-08
AB081357,35.4436,139.638,1986-07-08
AB081358,35.4436,139.638,1986-07-08
AB081359,35.4436,139.638,1986-07-08
AB081360,35.4436,139.638,1986-07-08
AB081361,35.4436,139.638,1986-07-08
AB081362,35.4436,139.638,1986-07-08
AB081363,35.4436,139.638,1986-07-08
AB081365,35.4436,139.638,1989-07-08
AB081366,35.4436,139.638,1989-07-08
AB081368,35.4436,139.638,1990-07-08
AB081369,35.4436,139.638,1993-07-08
AB081370,35.4436,139.638,1993-07-08
AB081371,35.4436,139.638,1994-07-08
AB081372,35.4436,139.638,1994-07-08
AB081373,35.4436,139.638,1994-07-08
AB081374,35.4436,139.638,1995-07-08
AB081375,35.4436,139.638,1997-07-08
AB081376,35.4436,139.638,1997-07-08
AB081377,35.4436,139.638,1997-07-08
AB081382,35.4436,139.638,1997-07-08
AB081383,35.4436,139.638,1997-07-08
AB081384,35.4436,139.638,1997-07-08
AB081387,35.4436,139.638,2000-07-08
AB081400,33.8439,132.7565,1978-07-08
AB081402,33.8439,132.7565,1978-07-08
AB126217,35.4436,139.638,2003-07-08
AB183004,34.69,135.1955,2003-07-08
AB183006,34.69,135.1955,2000-07-08
AB183007,34.69,135.1955,2000-07-08
AB183009,34.69,135.1955,2000-07-08
AB183010,34.69,135.1955,2000-07-08
AB204852,38.897159,-77.036207,1970-07-08
AB204853,38.897159,-77.036207,1970-07-08
AB238695,34.69,135.1955,2003-07-08
AB239756,35.0178,135.8546,1997-07-08
AB247297,37.75,140.4668,1993-07-08
AB247298,37.75,140.4668,1996-07-08
AB247299,37.75,140.4668,2003-07-08
AB247300,37.75,140.4668,2003-07-08
AB247301,37.75,140.4668,2003-07-08
AB247302,37.75,140.4668,2000-07-08
AB247303,37.75,140.4668,1997-07-08
AB247304,37.75,140.4668,1997-07-08
AB247305,37.75,140.4668,1997-07-08
AB247306,37.75,140.4668,1997-07-08
AB247307,37.75,140.4668,1997-07-08
AB247308,37.75,140.4668,1997-07-08
AB247309,37.75,140.4668,2001-07-08
AB247310,37.75,140.4668,1997-07-08
AB247311,37.75,140.4668,2000-07-08
AB247312,37.75,140.4668,1995-07-08
AB247313,37.75,140.4668,1995-07-08
AB247314,37.75,140.4668,2003-07-08
AB247315,37.75,140.4668,2003-07-08
AB247316,37.75,140.4668,2002-07-08
AB247317,37.75,140.4668,2003-07-08
AB247318,37.75,140.4668,2003-07-08
AB247319,37.75,140.4668,2003-07-08
AB247320,37.75,140.4668,1990-07-08
AB247321,37.75,140.4668,1990-07-08
AB247322,37.75,140.4668,1987-07-08
AB247323,37.75,140.4668,1986-07-08
AB247324,37.75,140.4668,1993-07-08
AB247325,37.75,140.4668,1994-07-08
AB247326,37.75,140.4668,2003-07-08
AB247625,37.75,140.4668,1987-07-08
AB282815,34.69,135.1955,1994-07-08
AB282816,34.69,135.1955,1994-07-08
AB282817,34.69,135.1955,1994-07-08
AB282818,34.69,135.1955,1994-07-08
AB282819,34.69,135.1955,1994-07-08
AB282820,34.69,135.1955,1994-07-08
AB282821,34.69,135.1955,1994-07-08
AB282822,34.69,135.1955,1995-07-08
AB550332,35.0178,135.8546,1997-07-08
AB550333,35.0178,135.8546,1997-07-08
AB550338,38.2402,140.3625,1975-07-08
AB550339,38.2402,140.3625,1975-07-08
AB550340,3.1328934,101.696,1997-07-08
AB550341,3.1328934,101.696,1997-07-08
AB575935,52.367935,4.900364,1991-07-08
AB575936,52.367935,4.900364,1991-07-08
AB575937,52.367935,4.900364,2001-07-08
AB575938,52.367935,4.900364,2010-07-08
AB575939,52.367935,4.900364,2000-07-08
AB575941,52.367935,4.900364,2007-07-08
AB575942,52.367935,4.900364,2007-07-08
AB575948,52.367935,4.900364,2010-07-08
AF119795,25.039868,121.511879,1998-07-08
AF119796,25.039868,121.511879,1998-07-08
AF136379,25.039868,121.511879,1998-07-08
AF176044,25.039868,121.511879,1998-07-08
AF302996,39.908222,116.391027,1998-07-08
AF304457,25.039868,121.511879,1998-07-08
AF304458,25.039868,121.511879,1998-07-08
AF304459,25.039868,121.511879,1998-07-08
AF525220,37.531084,126.91583,2000-07-08
AF525221,37.531084,126.91583,2000-07-08
AF525222,37.531084,126.91583,2000-07-08
AF525223,37.531084,126.91583,2000-07-08
AF525224,37.531084,126.91583,2000-07-08
AH012706,3.1328934,101.696,2002-07-08
AJ296213,51.499183,-0.12464066,1999-07-08
AJ300753,51.499183,-0.12464066,1999-07-08
AJ300754,51.499183,-0.12464066,1999-07-08
