strain_name,latitude,longitude,date
taxid97395,35,-93,1993-01-01
taxid128982,20,77,1999-01-01
taxid133773,42.93,-93,1999-01-01
taxid133774,42.93,-93,1999-01-01
taxid133775,46,-94,1999-01-01
taxid133776,41.5,-100,1998-01-01
taxid142944,55,-115,1979-01-01
taxid157642,45,-90,1998-01-01
taxid187161,40,-80.83,2001-01-01
taxid187162,35.5,-80,2001-01-01
taxid187163,35.5,-80,2001-01-01
taxid187164,46,-94,2000-01-01
taxid187166,20,77,2000-01-01
taxid187167,40,-89,2001-01-01
taxid187168,40,-89,2001-01-01
taxid187171,42.93,-93,2001-01-01
taxid205005,37,127.5,2002-01-01
taxid222774,35.5,-80,2001-01-01
taxid282149,55,-115,1998-01-01
taxid345296,44,-85,2004-01-01
taxid345297,40,-86,2004-01-01
taxid345582,46,-94,2004-01-01
taxid351891,55,-115,1985-01-01
taxid351906,55,-115,2001-01-01
taxid351907,55,-115,2003-01-01
taxid352572,55,-115,1983-01-01
taxid352575,55,-115,2000-01-01
taxid352576,55,-115,1999-01-01
taxid352606,55,-115,1983-01-01
taxid352613,55,-115,1985-01-01
taxid352663,55,-115,1985-01-01
taxid352666,55,-115,1983-01-01
taxid352704,55,-115,1997-01-01
taxid352711,55,-115,1983-01-01
taxid352718,55,-115,1976-01-01
taxid352729,55,-115,1985-01-01
taxid352738,55,-115,1979-01-01
taxid370200,40,-80.83,1999-01-01
taxid381529,50,-86,2005-01-01
taxid381530,55,-115,2005-01-01
taxid381531,55,-125,2005-01-01
taxid381532,55,-97,2005-01-01
taxid381533,50,-86,2005-01-01
taxid381534,50,-86,2005-01-01
taxid398800,42.93,-93,2005-01-01
taxid401097,40,-80.83,1987-01-01
taxid402055,37,127.5,2006-01-01
taxid402056,37,127.5,2006-01-01
taxid402436,55,-115,1992-01-01
taxid402455,55,-115,1983-01-01
taxid402460,39,75.66,1986-01-01
taxid442957,35.5,-80,2003-01-01
taxid442958,40,-89,2004-01-01
taxid443179,24,109,2006-01-01
taxid451802,35.5,-80,1993-01-01
taxid496427,50,-86,2007-01-01
taxid497380,37,127.5,2004-01-01
taxid515581,40,-80.83,2007-01-01
taxid526549,35.5,-80,2005-01-01
taxid533026,40,-80.83,2004-01-01
taxid538542,37,127.5,2006-01-01
taxid538543,37,127.5,2004-01-01
taxid538544,37,127.5,2005-01-01
taxid538545,37,127.5,2004-01-01
taxid538546,37,127.5,2005-01-01
taxid538547,37,127.5,2005-01-01
taxid538548,37,127.5,2006-01-01
taxid538549,37,127.5,2007-01-01
taxid538550,37,127.5,2007-01-01
taxid538552,37,127.5,2007-01-01
taxid538553,37,127.5,2007-01-01
taxid538554,37,127.5,2007-01-01
taxid538555,37,127.5,2004-01-01
taxid538556,37,127.5,2005-01-01
taxid538557,37,127.5,2005-01-01
taxid538558,37,127.5,2005-01-01
taxid538559,37,127.5,2006-01-01
taxid538560,37,127.5,2006-01-01
taxid538561,37,127.5,2006-01-01
taxid539947,45,-100,2007-01-01
taxid539948,45,-100,2007-01-01
taxid539949,45,-100,2007-01-01
taxid542945,46,-94,2005-01-01
taxid545411,46,-94,1999-01-01
taxid547366,45,-100,2007-01-01
taxid556272,40,-80.83,2007-01-01
taxid568225,31.2,121.44,2007-01-01
taxid569203,46,-94,2007-01-01
taxid569204,46,-94,2007-01-01
taxid569205,40,-89,2007-01-01
taxid569206,46,-94,2006-01-01
taxid569207,46,-94,2007-01-01
taxid569227,46,-94,2006-01-01
taxid569228,46,-94,2007-01-01
taxid569229,46,-94,2006-01-01
taxid569230,46,-94,2007-01-01
taxid569232,46,-94,2007-01-01
taxid574548,37,127.5,2008-01-01
taxid579167,46,-94,1999-01-01
taxid641501,37,-119,2009-01-01
taxid641807,37,-119,2009-01-01
taxid641808,37,-119,2009-01-01
taxid641809,37,-119,2009-01-01
taxid641811,30,-100,2009-01-01
taxid641812,30,-100,2009-01-01
EPI176508,30,-100,2009-01-01
EPI176611,37,-119,2009-01-01
EPI176617,37,-119,2009-01-01
EPI176621,37,-119,2009-01-01
EPI176631,30,-100,2009-01-01
EPI176643,23,-102,2009-01-01
EPI176645,23,-102,2009-01-01
EPI177296,30,-100,2009-01-01
EPI177304,30,-100,2009-01-01
EPI177308,23,-102,2009-01-01
EPI177311,23,-102,2009-01-01
EPI177342,23,-102,2009-01-01
EPI177351,23,-102,2009-01-01
EPI177371,40,-80.83,2009-01-01
EPI177379,43,-75,2009-01-01
EPI177386,43,-75,2009-01-01
EPI177395,43,-75,2009-01-01
EPI177401,43,-75,2009-01-01
EPI177409,43,-75,2009-01-01
EPI177420,43,-75,2009-01-01
EPI178295,45,-63,2009-01-01
EPI178296,23,-102,2009-01-01
EPI178297,5,-86,2009-01-01
EPI178370,30,-100,2009-01-01
EPI178378,30,-100,2009-01-01
EPI178386,37,-119,2009-01-01
EPI178393,20,77,2009-01-01
EPI178405,44,-85,2009-01-01
EPI178436,43,-75,2009-01-01
