strain_name,latitude,longitude,date
EPI177280,-37.0000,175.0000,04-01-01
EPI177278,-37.0000,175.0000,04-01-01
EPI176588,19.42,-99.17,2009-04-01
EPI176593,19.42,-99.17,2009-04-01
EPI176598,19.42,-99.17,2009-04-01
EPI176601,19.42,-99.17,2009-04-01
EPI176636,40.00,-80.83,2009-04-01
EPI176638,40.00,-80.83,2009-04-01
EPI176642,43.00,-75.00,2009-04-01
taxid11448,54.67,-6.75,1973-01-01
taxid129775,22.25,114.17,1998-01-01
taxid135658,22.25,114.17,1999-01-01
taxid135659,22.25,114.18,1999-01-01
taxid135660,22.25,114.18,1999-01-01
taxid142940,23.50,121.00,1998-01-01
taxid161497,48.42,-2.67,2000-01-01
taxid161498,42.83,12.83,1995-01-01
taxid161499,42.83,12.83,1995-01-01
taxid161500,42.83,12.83,1998-01-01
taxid161501,42.83,12.83,1997-01-01
taxid161502,42.83,12.83,1997-01-01
taxid161504,48.42,-2.67,1999-01-01
taxid166940,48.33,-4.00,1984-01-01
taxid166942,50.83,4.00,1985-01-01
taxid166943,46.00,2.00,1982-01-01
taxid169160,48.17,-1.58,1999-01-01
taxid169165,48.42,-2.67,1999-01-01
taxid169169,48.42,-2.67,1999-01-01
taxid173717,46.00,2.00,1987-01-01
taxid173720,53.00,-2.00,1979-01-01
taxid176676,22.25,114.18,2000-01-01
taxid183786,22.25,114.18,1977-01-01
taxid183787,22.25,114.18,1977-01-01
taxid186168,22.25,114.18,2001-01-01
taxid196428,22.25,114.18,2001-01-01
taxid196434,22.25,114.18,2001-01-01
taxid196441,22.25,114.18,2001-01-01
taxid222140,22.25,114.18,2001-01-01
taxid222142,22.25,114.18,2001-01-01
taxid222144,22.25,114.18,2001-01-01
taxid222740,28.70,115.92,1992-01-01
taxid222746,38.33,140.83,1977-01-01
taxid222750,-30.00,26.00,1992-01-01
taxid222752,54.30,13.10,1981-01-01
taxid273377,46.00,2.00,2001-01-01
taxid273378,46.00,2.00,2002-01-01
taxid273379,46.00,2.00,2002-01-01
taxid274838,24.00,109.00,2001-01-01
taxid274848,29.00,120.00,2000-01-01
taxid295670,26.55,117.84,2003-01-01
taxid303925,22.25,114.18,2003-01-01
taxid338846,42.83,12.83,1999-04-02
taxid352348,22.25,114.18,1977-01-01
taxid352555,28.70,115.92,1992-01-01
taxid355931,46.00,2.00,2001-01-01
taxid355933,46.00,2.00,2002-01-01
taxid367715,30.24,115.18,2001-01-01
taxid371204,23.50,121.00,1997-01-01
taxid371207,23.50,121.00,1999-01-01
taxid371208,23.50,121.00,1999-01-01
taxid374441,40.00,-4.00,2003-01-01
taxid374442,40.00,-4.00,2003-01-01
taxid374443,40.00,-4.00,2004-01-01
taxid374987,26.55,117.84,2001-01-01
taxid374988,26.55,117.84,2003-01-01
taxid382847,53.00,-2.00,1992-01-01
taxid400733,38.33,140.83,1977-01-01
taxid400734,43.09,141.82,1996-01-01
taxid400735,22.25,114.18,1980-01-01
taxid402527,57.00,-4.00,1957-01-01
taxid404156,33.00,120.00,2002-01-01
taxid404165,43.85,126.55,2003-01-01
taxid404177,24.00,109.00,2001-01-01
taxid404183,29.00,120.00,2002-01-01
taxid411157,15.00,100.00,2005-07-14
taxid424895,22.25,114.18,1980-01-01
taxid426736,22.25,114.18,1979-01-01
taxid432077,16.17,107.83,2003-01-01
taxid441583,37.00,-80.00,1987-01-01
taxid441584,37.00,-80.00,1987-01-01
taxid449402,20.00,77.00,1980-01-01
taxid455318,42.83,12.83,2006-01-01
taxid456270,42.83,12.83,2004-01-01
taxid456283,42.83,12.83,2004-01-01
taxid456289,42.83,12.83,2004-01-01
taxid487074,51.50,10.50,1995-01-01
taxid488881,13.70,101.08,2005-01-01
taxid488882,13.37,100.98,2005-01-01
taxid488884,13.37,100.98,2006-01-01
taxid488885,13.37,100.98,2005-01-01
taxid496743,23.38,116.65,2001-01-01
taxid503260,35.00,105.00,2003-01-01
taxid503283,31.75,120.25,2003-01-01
taxid512956,43.09,141.82,2004-01-01
taxid512991,43.09,141.82,2007-01-01
taxid519831,13.55,99.71,2000-01-01
taxid519832,13.55,99.71,2003-01-01
taxid519833,13.37,100.98,2004-01-01
taxid519834,13.37,100.98,2004-01-01
taxid551235,38.33,140.83,1977-01-01
taxid571201,29.00,120.00,2007-11-15
taxid573042,42.83,12.83,2006-01-01
taxid573043,42.83,12.83,2007-01-01
taxid573044,42.83,12.83,2003-01-01
taxid576795,46.00,105.00,2002-01-01
taxid576796,46.00,105.00,2003-01-01
taxid576797,46.00,105.00,2001-01-01
taxid576798,46.00,105.00,2002-01-01
taxid594672,15.00,100.00,2005-08-01
taxid614035,50.83,4.00,1998-01-01
taxid619318,47.00,20.00,2006-09-01
taxid624772,50.83,4.00,1979-01-01
taxid624773,50.83,4.00,1983-01-01
taxid624774,46.00,2.00,1984-01-01
taxid624775,46.00,2.00,1985-01-01
taxid624776,50.83,4.00,1989-01-01
taxid624777,40.00,-4.00,1991-01-01
taxid624778,53.00,-2.00,1992-01-01
taxid624779,46.00,2.00,1992-01-01
taxid624780,56.00,10.00,1993-01-01
taxid624781,53.00,-2.00,1993-01-01
taxid624782,53.00,-2.00,1994-01-01
taxid624784,46.00,2.00,1995-01-01
taxid624785,53.00,-2.00,1996-01-01
taxid624786,53.00,-2.00,1997-01-01
taxid624787,53.00,-2.00,1998-01-01
taxid624788,56.00,-4.00,1999-01-01
taxid641501,32.70,-117.15,2009-04-01
taxid641807,32.97,-115.52,2009-03-30
taxid641810,37.00,-119.00,2009-04-15
taxid641811,30.00,-100.00,2009-04-14
taxid641812,30.00,-100.00,2009-04-15
taxid88299,50.83,4.00,1983-01-01
EPI177291,52.5000,5.7500,2009-04-30
EPI177316,19.42,-99.17,2009-04-01
EPI177301,30.00,-100.00,2009-04-14
