strain_name,latitude,longitude,date
taxid380342,42,-93,1930-01-01
taxid383539,40,-80.83,1935-01-01
taxid383538,40.35,-74.43,1942-01-01
taxid383534,45,-90,1957-01-01
taxid383533,45,-90,1961-01-01
taxid458022,45,-90,1966-01-01
taxid382855,45,-90,1967-01-01
taxid441587,45,-90,1970-01-01
taxid441585,45,-90,1971-01-01
taxid437339,46,-94,1975-01-01
taxid441572,40,-89,1975-01-01
taxid441580,35.5,-85,1975-01-01
taxid383566,42.83,12.83,1976-01-01
taxid384497,38,-98,1976-01-01
taxid416742,45,-90,1976-01-01
taxid437335,35.5,-85,1976-01-01
taxid437336,35.5,-85,1976-01-01
taxid437337,35.5,-85,1976-01-01
taxid437338,35.5,-85,1976-01-01
taxid437340,35.5,-85,1976-01-01
taxid437341,42,-93,1976-01-01
taxid437342,42,-93,1976-01-01
taxid437343,35.5,-85,1976-01-01
taxid441573,37,-85,1976-01-01
taxid441574,46,-94,1976-01-01
taxid458004,35.5,-85,1976-01-01
taxid458023,45,-90,1976-01-01
taxid458025,45,-90,1976-01-01
taxid332747,35.5,-85,1977-01-01
taxid384479,35.5,-85,1977-01-01
taxid437344,35.5,-85,1977-01-01
taxid437345,35.5,-85,1977-01-01
taxid437346,35.5,-85,1977-01-01
taxid437347,35.5,-85,1977-01-01
taxid437349,35.5,-85,1977-01-01
taxid437350,35.5,-85,1977-01-01
taxid437351,35.5,-85,1977-01-01
taxid437352,35.5,-85,1977-01-01
taxid437353,35.5,-85,1977-01-01
taxid437354,35.5,-85,1977-01-01
taxid437355,35.5,-85,1977-01-01
taxid437356,35.5,-85,1977-01-01
taxid437357,35.5,-85,1977-01-01
taxid437358,35.5,-85,1977-01-01
taxid441561,35.5,-85,1977-01-01
taxid441563,35.5,-85,1977-01-01
taxid441564,35.5,-85,1977-01-01
taxid441565,35.5,-85,1977-01-01
taxid441566,42,-93,1977-01-01
taxid441576,41.5,-100,1977-01-01
taxid441593,34,-112,1977-01-01
taxid458005,42,-93,1977-01-01
taxid458006,35.5,-85,1977-01-01
taxid458007,35.5,-85,1977-01-01
taxid458008,35.5,-85,1977-01-01
taxid458009,35.5,-85,1977-01-01
taxid458010,35.5,-85,1977-01-01
taxid458012,35.5,-85,1977-01-01
taxid519839,37.97,139.03,1977-01-01
taxid441581,35.5,-85,1978-01-01
taxid441582,35.5,-85,1978-01-01
taxid458013,35.5,-85,1978-01-01
taxid458014,35.5,-85,1978-01-01
taxid458015,35.5,-85,1978-01-01
taxid458016,35.5,-85,1978-01-01
taxid458018,35.5,-85,1978-01-01
taxid458019,35.5,-85,1978-01-01
taxid458020,35.5,-85,1978-01-01
taxid441575,46,-94,1979-01-01
taxid519838,35.06,135.69,1979-01-01
taxid441586,45,-90,1980-01-01
taxid441588,45,-90,1980-01-01
taxid441589,45,-90,1980-01-01
taxid441590,45,-90,1980-01-01
taxid441591,45,-90,1980-01-01
taxid441592,45,-90,1980-01-01
taxid453856,38.66,-98,1980-01-01
taxid383565,42.83,12.83,1981-01-01
taxid384501,50,-86,1981-01-01
taxid387253,43.09,141.82,1981-01-01
taxid441577,50,-86,1981-01-01
taxid441578,50,-86,1981-01-01
taxid441579,50,-86,1981-01-01
taxid458002,50,-86,1981-01-01
taxid458003,50,-86,1981-01-01
taxid441567,42,-93,1985-01-01
taxid441569,42,-93,1985-01-01
taxid457999,42,-93,1985-01-01
taxid383563,42.83,12.83,1986-01-01
taxid457998,42,-93,1986-01-01
taxid441568,42,-93,1987-01-01
taxid441595,38.66,-98,1987-01-01
taxid441596,38.66,-98,1987-01-01
taxid458001,42,-93,1987-01-01
taxid380341,42,-93,1988-01-01
taxid380346,45,-90,1988-01-01
taxid382856,45,-90,1988-01-01
taxid416743,40,-80.83,1988-01-01
taxid441570,42,-93,1988-01-01
taxid533024,35.5,-80,1988-01-01
taxid566260,35.5,-80,1988-01-01
taxid458021,35.13,-90.03,1990-01-01
taxid542942,42,-93,1990-01-01
taxid441594,42,-93,1991-01-01
taxid441597,49,-76.83,1991-01-01
taxid457997,37,-119,1991-01-01
taxid533021,40.83,-76,1991-01-01
taxid542943,42,-93,1992-01-01
taxid380332,22.25,114.18,1994-01-01
taxid380978,45,-90,1994-01-01
taxid380979,45,-90,1994-01-01
taxid114723,45,-90,1997-01-01
taxid101751,42,-93,1998-01-01
taxid101752,46,-94,1998-01-01
taxid101753,35.5,-80,1998-01-01
taxid114725,45,-90,1998-01-01
taxid114726,45,-90,1998-01-01
taxid133776,41.5,-100,1998-01-01
taxid136487,30,-100,1998-01-01
taxid157642,45,-90,1998-01-01
taxid227304,43,-75,1998-01-01
taxid128982,40,-86,1999-01-01
taxid133773,42,-93,1999-01-01
taxid133774,42,-93,1999-01-01
taxid133775,46,-94,1999-01-01
taxid165420,38,-98,1999-01-01
taxid177119,35.5,-80,1999-01-01
taxid177117,46,-94,2000-01-01
taxid177118,46,-94,2000-01-01
taxid177126,35,-93,2000-01-01
taxid177128,46,-94,2000-01-01
taxid177129,38.66,-98,2000-01-01
taxid177131,38.66,-98,2000-01-01
taxid177133,40,-80.83,2000-01-01
taxid177191,46,-94,2000-01-01
taxid187164,46,-94,2000-01-01
taxid187166,40,-86,2000-01-01
taxid177121,40,-86,2001-01-01
taxid177122,40,-86,2001-01-01
taxid177123,46,-94,2001-01-01
taxid177124,46,-94,2001-01-01
taxid177127,35.5,-80,2001-01-01
taxid177130,39,-105,2001-01-01
taxid177132,41.5,-100,2001-01-01
taxid177134,46,-94,2001-01-01
taxid177135,46,-94,2001-01-01
taxid177136,41.5,-100,2001-01-01
taxid177137,46,-94,2001-01-01
taxid177138,46,-94,2001-01-01
taxid177139,46,-94,2001-01-01
taxid177140,46,-94,2001-01-01
taxid177190,38,-98,2001-01-01
taxid187161,40,-80.83,2001-01-01
taxid187162,35.5,-80,2001-01-01
taxid187163,35.5,-80,2001-01-01
taxid187167,40,-89,2001-01-01
taxid187168,40,-89,2001-01-01
taxid187171,42,-93,2001-01-01
taxid222774,35.5,-80,2001-01-01
taxid205005,37,127.5,2002-01-01
taxid301961,35.5,-80,2003-01-01
taxid301962,46,-94,2003-01-01
taxid358575,50,-86,2003-01-01
taxid358576,55,-115,2003-01-01
taxid358577,50,-86,2003-01-01
taxid442957,35.5,-80,2003-01-01
taxid345296,44,-85,2004-01-01
taxid345297,40,-86,2004-01-01
taxid345582,46,-94,2004-01-01
taxid358578,50,-86,2004-01-01
taxid358579,50,-86,2004-01-01
taxid442958,40,-89,2004-01-01
taxid519833,13.37,100.98,2004-01-01
taxid519834,13.37,100.98,2004-01-01
taxid533026,40,-80.83,2004-01-01
taxid538543,37,127.5,2004-01-01
taxid538545,37,127.5,2004-01-01
taxid381529,50,-86,2005-01-01
taxid381530,55,-115,2005-01-01
taxid381531,55,-125,2005-01-01
taxid381532,55,-97,2005-01-01
taxid381533,50,-86,2005-01-01
taxid381534,50,-86,2005-01-01
taxid388536,37,127.5,2005-01-01
taxid398800,42,-93,2005-01-01
taxid411157,15,100,2005-01-01
taxid416567,23,113,2005-01-01
taxid443180,24,109,2005-01-01
